wavelength (nm);5_8_2023_1;5_8_2023_2;22_05_2023_1;22_05_2023_2;22_05_2023_3
190;257.42200;260.27600;81.85200;178.75600;357.82000
190.5;258.24200;260.42800;81.80100;179.00500;359.96000
191;258.73600;263.63900;81.70400;178.44400;359.27300
191.5;259.51000;264.42000;82.34200;177.94500;359.62000
192;259.55200;264.15600;82.72100;178.09700;359.17500
192.5;259.45000;264.50700;83.88700;178.43000;361.86100
193;258.85300;265.48100;84.51200;178.38700;362.57100
193.5;260.04500;264.95300;84.84300;178.32200;363.21600
194;261.13500;265.23700;85.24700;178.45500;363.18000
194.5;259.91700;263.36400;85.20100;179.03000;362.52900
195;259.55000;263.10300;84.57200;178.89000;361.53200
195.5;259.10300;261.75800;84.23500;178.02500;358.90700
196;257.62200;262.39900;83.17000;176.55400;357.31700
196.5;255.94800;260.22700;82.22800;174.89500;355.64000
197;255.39400;258.57800;81.19500;173.57700;351.67500
197.5;252.83700;257.52900;81.33300;172.83600;348.68900
198;251.90200;254.37100;80.09700;170.85100;345.47500
198.5;249.93600;251.93400;79.76900;168.78100;341.80700
199;247.43300;249.13200;79.64600;166.47800;337.86500
199.5;244.57700;245.55300;78.55600;164.31700;334.14000
200;241.09900;243.29500;77.47700;161.48100;329.86800
200.5;237.38000;239.46200;76.13500;158.10800;323.99500
201;234.34400;236.52800;74.49600;155.14500;319.92900
201.5;232.07000;232.46200;73.49500;152.54700;314.56300
202;229.59700;228.44100;72.12600;150.21800;308.16100
202.5;226.96900;224.94200;70.73900;148.45500;302.50700
203;224.07900;221.40500;69.23400;145.78700;297.62400
203.5;220.06400;218.80600;68.63600;143.50400;293.05400
204;217.18400;216.02600;67.95300;140.80300;288.45000
204.5;213.87300;212.48600;66.57200;138.53900;283.40200
205;210.21200;208.80400;65.31600;135.67900;277.80000
205.5;206.13600;204.35900;64.05500;132.97600;271.54900
206;203.15800;200.33800;63.19100;130.37900;266.73200
206.5;199.58400;196.37300;62.19600;127.94100;261.15900
207;195.28500;192.59500;60.53500;125.61700;255.53700
207.5;191.52800;189.04600;59.00400;123.26100;250.83600
208;187.30500;184.88300;57.54100;121.09300;245.55900
208.5;183.20500;181.12900;56.27100;118.79300;239.85800
209;179.60300;177.89900;54.89100;116.31000;234.25500
209.5;176.61500;174.03100;53.60900;113.62300;227.94100
210;173.37100;170.68400;52.51600;110.75500;222.03600
210.5;169.72900;167.34400;51.61800;108.01800;216.60900
211;167.04500;164.49700;51.27000;105.31800;211.86300
211.5;163.89900;161.84700;50.40200;102.87300;207.50000
212;160.58400;158.96800;49.29000;100.78300;204.42900
212.5;157.29100;156.03900;48.11600;98.81400;201.21400
213;154.46800;153.10200;46.97300;97.31700;197.68700
213.5;152.13200;150.69000;45.89800;95.62200;194.01700
214;149.84700;148.54900;44.99000;93.93700;190.06400
214.5;147.87900;146.39000;44.12500;92.31200;186.16200
215;145.87400;144.09100;43.27100;90.65700;182.52300
215.5;143.98000;141.67100;42.55500;89.06500;179.44300
216;142.34400;139.32100;41.95400;87.70700;176.89200
216.5;139.98800;137.34400;40.89300;86.45600;174.45300
217;138.20600;135.19300;40.02500;85.18600;172.45500
217.5;136.54200;133.46500;39.27800;83.90400;170.10300
218;135.01900;131.59800;38.78000;82.62000;167.35300
218.5;133.19500;129.46000;38.37700;81.35400;164.75200
219;131.19100;127.46100;37.87500;80.22200;162.02700
219.5;129.49800;125.53300;37.45200;78.95900;159.46900
220;128.03500;123.70800;36.92000;77.81600;156.91900
220.5;126.40800;121.81600;36.45700;76.84900;154.80000
221;124.86500;120.26200;35.87600;75.92800;153.15900
221.5;123.22800;118.75900;35.05000;74.92100;150.96300
222;121.76900;117.45100;34.58400;73.73700;149.08900
222.5;120.45700;116.27900;34.26100;72.67000;147.14000
223;118.62900;114.74500;34.00200;71.63100;144.91000
223.5;116.91700;112.93700;33.51800;70.61000;143.32300
224;115.20700;111.37400;33.00800;69.61300;141.32800
224.5;113.53600;109.74200;32.54500;68.60200;139.24100
225;111.98100;108.04900;32.00300;67.63600;137.17800
225.5;110.11600;106.05300;31.55400;66.54500;134.89700
226;107.93500;103.87200;30.98300;65.25300;132.22100
226.5;105.66600;101.56600;30.44200;63.92900;129.22000
227;103.69200;99.66100;30.04200;62.70800;126.79200
227.5;102.27600;98.00800;29.61300;61.72100;124.54700
228;101.10200;96.74700;29.08100;60.99600;122.83300
228.5;100.30500;95.84900;28.65300;60.35800;121.55400
229;99.62400;95.15600;28.31800;59.90200;120.38900
229.5;99.01700;94.62400;27.93300;59.51100;119.53300
230;98.42500;94.02700;27.64100;59.07800;118.67900
230.5;97.36800;92.88000;27.29500;58.46200;117.31800
231;95.75600;91.29300;26.86700;57.61600;115.69500
231.5;93.95100;89.34400;26.34400;56.62500;113.80700
232;92.06200;87.23900;25.80700;55.56300;111.76100
232.5;90.31300;85.27000;25.21500;54.53500;109.85800
233;88.58000;83.41100;24.73600;53.51300;107.90300
233.5;86.80700;81.57100;24.19300;52.55500;106.03700
234;85.08700;79.78600;23.89000;51.63800;104.17400
234.5;83.54600;78.32500;23.46800;50.82700;102.49600
235;82.24900;77.04300;23.18700;50.05100;100.84900
235.5;80.97900;75.89000;22.93600;49.29200;99.13200
236;79.58600;74.65700;22.61500;48.53100;97.62100
236.5;78.32800;73.34500;22.30600;47.77500;96.09400
237;77.05400;71.88100;21.98100;47.04800;94.50500
237.5;75.76900;70.54900;21.56100;46.38500;93.06100
238;74.56100;69.17600;21.24800;45.65900;91.52700
238.5;73.15300;67.68000;20.86300;44.91600;89.94200
239;71.67800;66.07900;20.59600;44.16500;88.31900
239.5;70.08900;64.50100;20.14500;43.36800;86.69700
240;68.52100;62.96400;19.85200;42.51200;84.98900
240.5;67.03600;61.65100;19.58400;41.69100;83.33500
241;65.77500;60.43800;19.28300;41.00500;81.97700
241.5;65.00700;59.68000;19.02200;40.46700;80.89200
242;64.50900;59.18000;18.77200;40.10400;80.05100
242.5;64.32100;58.98800;18.54900;39.82000;79.46600
243;64.25100;58.81500;18.43100;39.58600;78.96800
243.5;64.02300;58.47900;18.25300;39.35300;78.37000
244;63.53000;57.86500;18.02900;38.98500;77.68600
244.5;62.38100;56.69900;17.76500;38.36100;76.50600
245;60.99700;55.25500;17.55500;37.60400;74.99500
245.5;59.64100;53.94500;17.37500;36.92800;73.56200
246;58.65000;52.97300;17.16400;36.39400;72.40000
246.5;58.20400;52.56000;17.03400;36.04300;71.59300
247;58.02400;52.43100;17.00000;35.81300;71.11300
247.5;58.18800;52.64600;16.92500;35.73200;70.97700
248;58.51700;53.02600;16.85200;35.80700;71.06000
248.5;58.90300;53.36300;16.71100;35.86300;71.04600
249;59.03000;53.36000;16.53000;35.74700;70.83300
249.5;58.44400;52.64700;16.37100;35.37700;70.22100
250;57.59500;51.71400;16.17200;34.95700;69.43100
250.5;56.69900;50.76800;15.97800;34.58400;68.63400
251;56.19100;50.15100;15.89100;34.29500;68.08200
251.5;55.84100;49.76600;15.81400;34.10000;67.67600
252;55.74400;49.61500;15.76200;33.92800;67.39700
252.5;55.75900;49.76800;15.74300;33.87500;67.24900
253;55.96000;50.05700;15.71300;33.87800;67.14000
253.5;56.11700;50.36500;15.68200;33.85400;66.87600
254;56.12300;50.45800;15.61500;33.85400;66.76100
254.5;55.74900;50.10400;15.57900;33.71900;66.53200
255;55.19600;49.52400;15.39500;33.57700;66.19800
255.5;54.67400;48.99900;15.29900;33.36200;65.79800
256;54.49400;48.69600;15.30900;33.17300;65.51100
256.5;54.41900;48.51000;15.20900;33.03000;65.25600
257;54.42800;48.39500;15.16700;32.88100;65.04900
257.5;54.15800;48.19200;15.14700;32.66200;64.69000
258;53.82500;47.94700;15.17700;32.39700;64.23000
258.5;53.51800;47.78000;15.26100;32.17800;63.72100
259;53.45800;47.83000;15.29700;32.15800;63.62700
259.5;53.67900;48.11300;15.36700;32.24000;63.72200
260;54.08000;48.54500;15.33000;32.42400;64.11900
260.5;54.57200;49.15400;15.39800;32.61300;64.51400
261;55.20900;49.80700;15.46900;32.85600;64.98300
261.5;55.77600;50.38800;15.54000;33.11700;65.42000
262;56.08200;50.71300;15.56000;33.31600;65.81500
262.5;56.09400;50.73000;15.60500;33.39700;65.95300
263;55.98200;50.62100;15.75400;33.43300;65.90500
263.5;56.12700;50.60000;15.79900;33.42900;65.86500
264;56.20000;50.60700;15.83400;33.45500;65.91500
264.5;56.35800;50.70600;15.83200;33.57600;66.07900
265;56.44900;50.74900;15.86300;33.70100;66.31900
265.5;56.51700;50.92600;15.93000;33.84100;66.51500
266;56.61400;51.10000;16.03700;34.03100;66.86700
266.5;56.86300;51.37600;16.17200;34.17500;67.20900
267;57.05900;51.71000;16.29700;34.35700;67.59700
267.5;57.42300;52.14300;16.44000;34.49000;67.83900
268;57.70000;52.51600;16.53900;34.66000;68.13600
268.5;58.18800;53.08300;16.55200;34.77600;68.43700
269;58.28800;53.22200;16.62300;34.79000;68.56200
269.5;58.21000;53.19600;16.64800;34.72800;68.64400
270;58.07400;53.14100;16.76800;34.64800;68.55500
270.5;58.16000;53.27500;16.76800;34.66900;68.62600
271;58.28800;53.42600;16.75400;34.79200;68.85600
271.5;58.69100;53.68500;16.73300;34.84400;69.03800
272;58.89100;53.84100;16.70000;34.93000;69.22700
272.5;59.25500;54.03000;16.61100;35.00900;69.44800
273;59.50200;54.27000;16.50100;35.11100;69.80600
273.5;59.83300;54.62300;16.45100;35.09700;69.89500
274;59.68900;54.53900;16.40500;34.97900;69.77700
274.5;59.38900;54.24900;16.42900;34.77700;69.57700
275;59.16200;54.05300;16.45300;34.62400;69.33300
275.5;59.02000;53.91800;16.35300;34.57800;69.10600
276;58.85500;53.80200;16.33800;34.54200;68.84700
276.5;58.75800;53.65900;16.35900;34.46400;68.65300
277;58.74600;53.61600;16.33400;34.45000;68.66300
277.5;58.77900;53.67200;16.26700;34.48400;68.68700
278;58.82200;53.78800;16.22100;34.44700;68.69300
278.5;58.80000;53.86900;16.22300;34.40200;68.58100
279;58.63800;53.78800;16.16900;34.35800;68.36500
279.5;58.31800;53.47400;16.21000;34.23600;68.09900
280;58.01800;53.17300;16.22500;34.13600;67.80400
280.5;57.68400;52.84100;16.24100;34.02100;67.37700
281;57.39000;52.58500;16.28000;33.90000;67.05900
281.5;57.35300;52.50700;16.25700;33.87500;66.97100
282;57.37200;52.50200;16.18900;33.88100;66.94600
282.5;57.26800;52.42800;16.10400;33.84200;66.79500
283;57.23300;52.36600;16.07100;33.80300;66.76300
283.5;57.16400;52.27200;16.00600;33.73100;66.65700
284;57.08300;52.09200;15.91700;33.59600;66.33100
284.5;56.77000;51.79400;15.85600;33.39600;65.93400
285;56.44100;51.52000;15.79900;33.18100;65.57100
285.5;56.20800;51.33300;15.75700;32.98700;65.24800
286;56.16600;51.34900;15.69100;32.87000;65.07900
286.5;56.25100;51.37000;15.58400;32.77800;65.04800
287;56.18600;51.25400;15.52400;32.71000;64.94700
